File,First Commit Message,First Commit Date,Last Commit Message,Last Commit Date,Number,Title,Author,Status
eip-1523.md,EIP 1523: Standard for storing insurance policies as extension of ERC-721 token (#1512),2019-05-20 00:02:00+00:00,"(bot 1272989785) moving EIPS/eip-1523.md to stagnant (#5033)

PR 5033 with changes to EIPS/eip-1523.md was created on 
	(2022-Apr-24th@00.19.45)
which is before the cutoff date of 
	(2022-Apr-24th@00.19.52)
i.e. 2 weeks ago",2022-05-08 00:19:53+00:00,1523,Standard for Insurance Policies as ERC-721 Non Fungible Tokens,Christoph Mussenbrock,Stagnant
eip-1538.md,Create eip-1538.md (#1879),2019-03-28 07:18:45+00:00,"Update EIP statuses (#3096)

I'm updating EIP statuses according to #2996. The mappings are as follows:

```
Draft => Draft
Last Call => Last Call
Accepted => Final
Final => Final
Superseded => Final
Abandoned => Withdrawn
Rejected => Withdrawn
Active => Living
```",2020-11-06 04:41:46+00:00,1538,Transparent Contract Standard,Nick Mudge,Withdrawn
eip-155.md,correct example values,2017-05-04 16:56:12+00:00,"Adds rule to EIP-1 that references to other EIPs must use relative path format and the first reference must be linked. (#2947)

I have gone through and updated all existing EIPs to match this rule, including EIP-1.

In some cases, people were using markdown citations, I suspect because the long-form was a bit verbose to inline.  Since the relative path is quite short, I moved these to inline but I wouldn't be opposed to putting them back to citation format if that is desired by the authors.

In doing the migration/cleanup, I found some EIP references to EIPs that don't actually exist.  In these cases I tried to excise the reference from the EIP as best I could.

It is worth noting that the Readme actually already had this rule, it just wasn't expressed properly in EIP-1 and the ""Citation Format"" section of the readme I think caused people a bit of confusion (when citing externally, you should use the citation format).",2020-09-30 04:22:43+00:00,155,Simple replay attack protection,Vitalik Buterin,Final
eip-1559.md,"Automatically merged updates to draft EIP(s) 1559 (#3210)


Hi, I'm a bot! This change was automatically merged because:

 - It only modifies existing Draft, Review, or Last Call EIP(s)
 - The PR was approved or written by at least one author of each modified EIP
 - The build is passing",2021-02-19 11:15:00+00:00,Update EIP-1559: Remove empty test cases (#6314),2023-02-22 16:55:45+00:00,1559,Fee market change for ETH 1.0 chain,"Vitalik Buterin, Eric Conner, Rick Dudley, Matthew Slipper, Ian Norden, Abdelhamid Bakhta",Final
eip-1571.md,"Initial draft for EthereumStratum/2.0.0 proposal (#1571)

Initial draft for EthereumStratum/2.0.0 proposal",2018-11-29 22:28:36+00:00,"(bot 1272989785) moving EIPS/eip-1571.md to stagnant (#3890)

PR 3890 with changes to EIPS/eip-1571.md was created on 
	(2021-Sep-11th@20.8.42)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:30:25+00:00,1571,EthereumStratum/2.0.0,"Andrea Lanfranchi, Pawel Bylica, Marius Van Der Wijden",Stagnant
eip-1577.md,"Multiaddr support for ENS (#1577)

* Create eip-1577.md

* Update eip-1577.md

* Update eip-1577.md",2018-11-13 04:09:15+00:00,"(bot 1272989785) moving EIPS/eip-1577.md to stagnant (#3891)

PR 3891 with changes to EIPS/eip-1577.md was created on 
	(2021-Sep-11th@20.8.51)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:30:19+00:00,1577,contenthash field for ENS,"Dean Eigenmann, Nick Johnson",Stagnant
eip-158.md,create files for eip-158 and 161,2017-06-23 11:54:34+00:00,EIP-158: Update author field to contain handle (#4810),2022-02-16 05:39:13+00:00,158,State clearing,Vitalik Buterin,Final
eip-1581.md,"Create eip-non_wallet_keys (#1581)

* Create eip-non_wallet_keys

* Update and rename eip-non_wallet_keys to eip-non_wallet_keys.md

* Update eip-non_wallet_keys.md

correct typo

* Update and rename eip-non_wallet_keys.md to eip-1581.md

* Update eip-1581.md",2018-11-27 20:16:21+00:00,"(bot 1272989785) moving EIPS/eip-1581.md to stagnant (#4981)

PR 4981 with changes to EIPS/eip-1581.md was created on 
	(2022-Apr-10th@00.19.3)
which is before the cutoff date of 
	(2022-Apr-17th@00.26.39)
i.e. 2 weeks ago",2022-05-01 00:26:58+00:00,1581,Non-wallet usage of keys derived from BIP-32 trees,Michele Balistreri,Stagnant
eip-1588.md,Initial draft of EIP-1588,2018-11-15 20:07:54+00:00,"(bot 1272989785) moving EIPS/eip-1588.md to stagnant (#3893)

PR 3893 with changes to EIPS/eip-1588.md was created on 
	(2021-Sep-11th@20.9.11)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:30:13+00:00,1588,Hardfork Meta: Ethereum ProgPoW,Ikmyeong Na,Stagnant
eip-1592.md,Rename eip-X.md to eip-1592.md,2018-11-19 09:29:00+00:00,"(bot 1272989785) moving EIPS/eip-1592.md to stagnant (#3894)

PR 3894 with changes to EIPS/eip-1592.md was created on 
	(2021-Sep-11th@20.9.20)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:30:06+00:00,1592,Address and ERC20-compliant transfer rules,"Cyril Lapinte, Laurent Aapro",Stagnant
eip-160.md,add eip-160 preamble and references,2017-07-18 20:15:48+00:00,"Adds rule to EIP-1 that references to other EIPs must use relative path format and the first reference must be linked. (#2947)

I have gone through and updated all existing EIPs to match this rule, including EIP-1.

In some cases, people were using markdown citations, I suspect because the long-form was a bit verbose to inline.  Since the relative path is quite short, I moved these to inline but I wouldn't be opposed to putting them back to citation format if that is desired by the authors.

In doing the migration/cleanup, I found some EIP references to EIPs that don't actually exist.  In these cases I tried to excise the reference from the EIP as best I could.

It is worth noting that the Readme actually already had this rule, it just wasn't expressed properly in EIP-1 and the ""Citation Format"" section of the readme I think caused people a bit of confusion (when citing externally, you should use the citation format).",2020-09-30 04:22:43+00:00,160,EXP cost increase,Vitalik Buterin,Final
eip-161.md,create files for eip-158 and 161,2017-06-23 11:54:34+00:00,"Update EIP to refer to Ethereum Mainnet, wording as per EIP-2228 (#4534)

Co-authored-by: Alex Beregszaszi <alex@rtfs.hu>",2022-01-04 20:13:56+00:00,161,State trie clearing (invariant-preserving alternative),Gavin Wood,Final
eip-1613.md,Initial draft for EIP #1613 - gas stations network (#1613),2018-12-11 08:41:08+00:00,"(bot 1272989785) moving EIPS/eip-1613.md to stagnant (#3895)

PR 3895 with changes to EIPS/eip-1613.md was created on 
	(2021-Sep-11th@20.9.29)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:30:00+00:00,1613,Gas stations network,"Yoav Weiss, Dror Tirosh, Alex Forshtat",Stagnant
eip-1616.md,"EIP: Attribute Registry Standard (ERC) (#1617)

* EIP: Attribute Registry Standard (ERC)

* Update and rename eip-###.md to eip-1616.md

Build is currently failing when using ### as the EIP number. Feel free to reassign.

* Update eip-1616.md

* Update eip-1616.md",2018-12-08 02:11:23+00:00,"(bot 1272989785) moving EIPS/eip-1616.md to stagnant (#4847)

PR 4847 with changes to EIPS/eip-1616.md was created on 
	(2022-Feb-27th@00.18.48)
which is before the cutoff date of 
	(2022-Mar-6th@00.17.47)
i.e. 2 weeks ago",2022-03-20 00:18:55+00:00,1616,Attribute Registry Standard,"0age, Santiago Palladino, Leo Arias, Alejo Salles, Stephane Gosselin",Stagnant
eip-162.md,Rename eip-ens-initial-registrar.md to eip-162.md,2017-05-22 11:30:06+00:00,"Adds rule to EIP-1 that references to other EIPs must use relative path format and the first reference must be linked. (#2947)

I have gone through and updated all existing EIPs to match this rule, including EIP-1.

In some cases, people were using markdown citations, I suspect because the long-form was a bit verbose to inline.  Since the relative path is quite short, I moved these to inline but I wouldn't be opposed to putting them back to citation format if that is desired by the authors.

In doing the migration/cleanup, I found some EIP references to EIPs that don't actually exist.  In these cases I tried to excise the reference from the EIP as best I could.

It is worth noting that the Readme actually already had this rule, it just wasn't expressed properly in EIP-1 and the ""Citation Format"" section of the readme I think caused people a bit of confusion (when citing externally, you should use the citation format).",2020-09-30 04:22:43+00:00,162,Initial ENS Hash Registrar,"Maurelian, Nick Johnson, Alex Van de Sande",Final
eip-1620.md,Add EIP-1620 (#1722),2019-03-10 07:30:44+00:00,"(bot 1272989785) moving EIPS/eip-1620.md to stagnant (#4848)

PR 4848 with changes to EIPS/eip-1620.md was created on 
	(2022-Feb-27th@00.18.57)
which is before the cutoff date of 
	(2022-Mar-6th@00.17.47)
i.e. 2 weeks ago",2022-03-20 00:18:48+00:00,1620,Money Streaming,Paul Berg,Stagnant
eip-1633.md,"RFT (Re-Fungible Token) (#1633)

[ERC-20](./eip-20.md) extension for proportional ownership of an [ERC-721](./eip-721.md) token.",2021-03-11 04:54:20+00:00,"(bot 1272989785) moving EIPS/eip-1633.md to stagnant (#3896)

PR 3896 with changes to EIPS/eip-1633.md was created on 
	(2021-Sep-11th@20.9.38)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:29:53+00:00,1633,Re-Fungible Token Standard (RFT),"Billy Rennekamp, Dan Long, Kiryl Yermakou, Nate van der Ende",Stagnant
eip-165.md,Remove authors @VoR0220 @Souptacular @GriffGreen,2018-02-16 23:57:27+00:00,remove ERC prefix from title (#3718),2021-08-15 11:14:36+00:00,165,Standard Interface Detection,"Christian Reitwießner, Nick Johnson, Fabian Vogelsteller, Jordi Baylina, Konrad Feldmeier, William Entriken",Final
eip-1679.md,"Automatically merged updates to draft EIP(s) 1679


Hi, I'm a bot! This change was automatically merged because:

 - It only modifies existing Draft or Last Call EIP(s)
 - The PR was approved or written by at least one author of each modified EIP
 - The build is passing",2019-04-30 09:27:35+00:00,"Update EIP to refer to Ethereum Mainnet, wording as per EIP-2228 (#4538)",2021-12-21 17:01:39+00:00,1679,Hardfork Meta: Istanbul,"Alex Beregszaszi, Afri Schoedon",Final
eip-1681.md,Add temporal replay protection (#1681),2019-03-08 16:20:05+00:00,"(bot 1272989785) moving EIPS/eip-1681.md to stagnant (#3897)

PR 3897 with changes to EIPS/eip-1681.md was created on 
	(2021-Sep-11th@20.9.47)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:29:47+00:00,1681,Temporal Replay Protection,Martin Holst Swende,Stagnant
eip-1682.md,"EIP-1682: Storage Rent (#1682)

* add storage rent EIP

* clarifications

* Update eip-draft_storagerent.md

* Rename eip-draft_storagerent.md to eip-1682.md

* Added discussion URL

* Slight formatting fix

* Rename Simple Summary to Abstract (as per latest EIP-1 rules)

* Set status to Abandoned

* Added missing section placeholders",2019-09-18 12:37:33+00:00,"Update EIP statuses (#3096)

I'm updating EIP statuses according to #2996. The mappings are as follows:

```
Draft => Draft
Last Call => Last Call
Accepted => Final
Final => Final
Superseded => Final
Abandoned => Withdrawn
Rejected => Withdrawn
Active => Living
```",2020-11-06 04:41:46+00:00,1682,Storage Rent,"Felix J Lange, Martin Holst Swende",Withdrawn
eip-170.md,create file for EIP-170,2017-06-23 12:59:52+00:00,EIP-170: Name the MAX_CODE_SIZE constant (#3790),2021-09-03 15:38:56+00:00,170,Contract code size limit,Vitalik Buterin,Final
eip-1702.md,Rename eip-account-versioning.md to eip-1702.md,2019-01-15 23:25:27+00:00,EIP-1702: Change status to Stagnant (#3539),2021-04-30 02:00:53+00:00,1702,Generalized Account Versioning Scheme,Wei Tang,Stagnant
eip-1706.md,EIP-1706 Disable SSTORE with gasleft lower than call stipend (#1706),2019-01-17 20:23:09+00:00,"Replace `resolution`, `superseded-by` and `replaces` with `withdrawal-reason`. (#4198)

* 1: add the withdrawal-reason field to the preamble

* Drop all the deprecated header fields (replaces, superseded-by, resolution)

* update some EIPs

* Update some more EIPs

* Removes colon from template header data

Parsing breaks on it I think.

Co-authored-by: Micah Zoltu <micah@zoltu.net>",2021-10-29 12:15:54+00:00,1706,Disable SSTORE with gasleft lower than call stipend,"Alex Forshtat, Yoav Weiss",Withdrawn
eip-1710.md,EIP-1710: URL Format for Web3 Browsers (#1710),2019-05-19 18:43:39+00:00,"(bot 1272989785) moving EIPS/eip-1710.md to stagnant (#3898)

PR 3898 with changes to EIPS/eip-1710.md was created on 
	(2021-Sep-11th@20.9.56)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:29:41+00:00,1710,URL Format for Web3 Browsers,Bruno Barbieri,Stagnant
eip-1716.md,"Create eip-1716.md (#1769)

Co-Authored-By: MariusVanDerWijden <m.vanderwijden@live.de>",2019-03-01 09:36:04+00:00,"Update EIP to refer to Ethereum Mainnet, wording as per EIP-2228 (#4539)",2021-12-08 09:35:44+00:00,1716,Hardfork Meta: Petersburg,"Afri Schoedon, Marius van der Wijden",Final
eip-173.md,"EIP 173: Contract Ownership Standard (#1142)

* Create eip-173.md

* Removed ""review-period-end""",2018-06-08 13:49:03+00:00,"Move EIP-173 to final with minor (normal) changes (#5210)

* Move to final + minor changes to bring EIP up to standard

* Remove example & requires header",2022-07-09 17:41:20+00:00,173,Contract Ownership Standard,"Nick Mudge, Dan Finlay",Final
eip-1753.md,"EIP-1753 - Define a smart contract interface for permits and licences (#1753)

* First draft

* Update eip-x.md

* Update eip-x.md

* Update eip-x.md

* Update eip-x.md

* Update eip-x.md

* Update eip-x.md

* Update eip-x.md

* Update eip-x.md

* Update authors

* Update eip-x.md

* Rename eip md

* Rollback

* Rename md

* Add copyright

* WIP: Re adding specificaiton

* Update example solidity

* Update eip-1753.md

* Update eip-1753.md

* Update eip-1753.md

* Update eip-1753.md

* Update eip-1753.md

* Update eip-1753.md

* Do not touch eip-X

* Fix typo",2019-07-02 12:09:40+00:00,"(bot 1272989785) moving EIPS/eip-1753.md to stagnant (#4621)

PR 4621 with changes to EIPS/eip-1753.md was created on 
	(2022-Jan-2nd@01.13.19)
which is before the cutoff date of 
	(2022-Jan-2nd@01.15.7)
i.e. 2 weeks ago",2022-01-16 01:15:08+00:00,1753,Smart Contract Interface for Licences,"Lucas Cullen, Kai Yeung, Anna Crowley, Caroline Marshall, Katrina Donaghy",Stagnant
eip-1761.md,ERC-1761 Scoped Approval Interface (#1839),2019-03-11 19:53:01+00:00,"(bot 1272989785) moving EIPS/eip-1761.md to stagnant (#4849)

PR 4849 with changes to EIPS/eip-1761.md was created on 
	(2022-Feb-27th@00.19.7)
which is before the cutoff date of 
	(2022-Mar-6th@00.17.47)
i.e. 2 weeks ago",2022-03-20 00:18:42+00:00,1761,Scoped Approval Interface,"Witek Radomski, Andrew Cooke, James Therien, Eric Binet",Stagnant
eip-1767.md,"Graphql node interface (#1767)

* First draft of graphql EIP

* Try and fix table.

* Try again to fix table.

* Sort table

* Update eip-tbd.md

* Update eip-tbd.md

* Update eip-tbd.md

* Update eip-tbd.md

* Update eip-tbd.md

* Update eip-tbd.md

* Update eip-tbd.md

* Create eip-draft-graphql.md

* Update eip-draft-graphql.md

* Update and rename eip-draft-graphql.md to eip-1767.md

* Remove eip-tbd",2019-02-21 19:38:05+00:00,"(bot 1272989785) moving EIPS/eip-1767.md to stagnant (#3899)

PR 3899 with changes to EIPS/eip-1767.md was created on 
	(2021-Sep-11th@20.10.5)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:29:34+00:00,1767,GraphQL interface to Ethereum node data,"Nick Johnson, Raúl Kripalani, Kris Shinn",Stagnant
eip-1775.md,"EIP-1775 - App Keys, application specific wallet accounts (#1775)",2019-05-05 21:09:31+00:00,"(bot 1272989785) moving EIPS/eip-1775.md to stagnant (#3900)

PR 3900 with changes to EIPS/eip-1775.md was created on 
	(2021-Sep-11th@20.10.14)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:29:28+00:00,1775,"App Keys, application specific wallet accounts","Vincent Eli, Dan Finlay",Stagnant
eip-1803.md,EIP-1803: Rename opcodes for clarity (#1803),2019-04-30 20:54:20+00:00,"(bot 1272989785) moving EIPS/eip-1803.md to stagnant (#3901)

PR 3901 with changes to EIPS/eip-1803.md was created on 
	(2021-Sep-11th@20.10.23)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:29:22+00:00,1803,Rename opcodes for clarity,Alex Beregszaszi,Stagnant
eip-181.md,ERC: Ethereum Name Service reverse resolution support,2017-05-13 15:53:40+00:00,Update eip-181.md (#2259),2019-09-05 08:52:22+00:00,181,ENS support for reverse resolution of Ethereum addresses,Nick Johnson,Final
eip-1812.md,Ethereum Verifiable Claims (#1812),2019-03-10 14:56:38+00:00,"(bot 1272989785) moving EIPS/eip-1812.md to stagnant (#3902)

PR 3902 with changes to EIPS/eip-1812.md was created on 
	(2021-Sep-11th@20.10.32)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:29:15+00:00,1812,Ethereum Verifiable Claims,Pelle Braendgaard,Stagnant
eip-1820.md,"New EIP: Pseudo-introspection Registry Contract (#1820)

This is a replacement for 820.",2019-03-08 11:48:24+00:00,"Bump eipv to v0.3.0 (#4386)

* bump eipv to v0.3.0

* remove deprecated preamble fields from eips",2021-10-28 18:43:03+00:00,1820,Pseudo-introspection Registry Contract,"Jordi Baylina, Jacques Dafflon",Final
eip-1822.md,Updates with eip number to pass travis build,2019-03-04 20:27:45+00:00,"Update eip-1822.md (#6118)

Fixes typo: contact -> contract",2022-12-12 19:00:00+00:00,1822,Universal Upgradeable Proxy Standard (UUPS),"Gabriel Barros, Patrick Gallagher",Stagnant
eip-1829.md,Ecmul Precompile (#1829),2019-03-07 16:10:39+00:00,"(bot 1272989785) moving EIPS/eip-1829.md to stagnant (#3904)

PR 3904 with changes to EIPS/eip-1829.md was created on 
	(2021-Sep-11th@20.10.51)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:29:02+00:00,1829,Precompile for Elliptic Curve Linear Combinations,Remco Bloemen,Stagnant
eip-1844.md,"Wrote ENS Interface discovery EIP (#1844)

* Wrote ENS Interface discovery EIP

* Rename EIP and add discussion URL",2019-03-15 02:53:31+00:00,"(bot 1272989785) moving EIPS/eip-1844.md to stagnant (#3905)

PR 3905 with changes to EIPS/eip-1844.md was created on 
	(2021-Sep-11th@20.11.0)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:28:55+00:00,1844,ENS Interface Discovery,Nick Johnson,Stagnant
eip-1872.md,EIP-1872: Ethereum Network Upgrade Windows (#1872),2019-04-03 18:39:56+00:00,"(bot 1272989785) moving EIPS/eip-1872.md to stagnant (#3906)

PR 3906 with changes to EIPS/eip-1872.md was created on 
	(2021-Sep-11th@20.11.9)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:28:49+00:00,1872,Ethereum Network Upgrade Windows,Danno Ferrin,Stagnant
eip-1884.md,EIP-1884: Repricing for trie-size-dependent opcodes (#1884),2019-04-04 16:04:05+00:00,"Adds rule to EIP-1 that references to other EIPs must use relative path format and the first reference must be linked. (#2947)

I have gone through and updated all existing EIPs to match this rule, including EIP-1.

In some cases, people were using markdown citations, I suspect because the long-form was a bit verbose to inline.  Since the relative path is quite short, I moved these to inline but I wouldn't be opposed to putting them back to citation format if that is desired by the authors.

In doing the migration/cleanup, I found some EIP references to EIPs that don't actually exist.  In these cases I tried to excise the reference from the EIP as best I could.

It is worth noting that the Readme actually already had this rule, it just wasn't expressed properly in EIP-1 and the ""Citation Format"" section of the readme I think caused people a bit of confusion (when citing externally, you should use the citation format).",2020-09-30 04:22:43+00:00,1884,Repricing for trie-size-dependent opcodes,Martin Holst Swende,Final
eip-1890.md,"EIP-1890: Commitment to Sustainable Ecosystem Funding (#1890)

* Create eip-credible_commitment.md

* Update and rename eip-credible_commitment.md to eip-1890.md

Assign EIP number",2019-04-10 23:39:05+00:00,"Status changed to 'Withdrawn'. ""EIP no longer active"" as suggested by Kevin Owocki (#3219)",2021-01-25 13:32:28+00:00,1890,Commitment to Sustainable Ecosystem Funding,"Gregory Markou, Kevin Owocki, Lane Rettig",Withdrawn
eip-1895.md,EIP-1895: Support for an Elliptic Curve Cycle (#1895),2019-04-24 17:49:37+00:00,"(bot 1272989785) moving EIPS/eip-1895.md to stagnant (#3907)

PR 3907 with changes to EIPS/eip-1895.md was created on 
	(2021-Sep-11th@20.11.18)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:28:43+00:00,1895,Support for an Elliptic Curve Cycle,Alexandre Belling,Stagnant
eip-1898.md,EIP-1898: Add blockhash as option for some JSON-RPC methods (#1898),2019-04-03 17:07:55+00:00,"Update EIP-1898: Move to Review (#6309)

* removed dependency on 1474, added safe/finalized string options

Signed-off-by: Sally MacFarlane <macfarla.github@gmail.com>

* changed status to review

Signed-off-by: Sally MacFarlane <macfarla.github@gmail.com>

Signed-off-by: Sally MacFarlane <macfarla.github@gmail.com>",2023-01-25 15:08:23+00:00,1898,Add `blockHash` to defaultBlock methods,Charles Cooper,Draft
eip-190.md,Add EIP190 for ERC190 Smart Contract Packaging Standard,2017-02-02 22:02:12+00:00,"Adds rule to EIP-1 that references to other EIPs must use relative path format and the first reference must be linked. (#2947)

I have gone through and updated all existing EIPs to match this rule, including EIP-1.

In some cases, people were using markdown citations, I suspect because the long-form was a bit verbose to inline.  Since the relative path is quite short, I moved these to inline but I wouldn't be opposed to putting them back to citation format if that is desired by the authors.

In doing the migration/cleanup, I found some EIP references to EIPs that don't actually exist.  In these cases I tried to excise the reference from the EIP as best I could.

It is worth noting that the Readme actually already had this rule, it just wasn't expressed properly in EIP-1 and the ""Citation Format"" section of the readme I think caused people a bit of confusion (when citing externally, you should use the citation format).",2020-09-30 04:22:43+00:00,190,Ethereum Smart Contract Packaging Standard,"Piper Merriam, Tim Coulter, Denis Erfurt, RJ Catalano, Iuri Matias",Final
eip-1900.md,EIP-1900 Decentralized Type System for EVM (#1900),2019-07-07 06:15:25+00:00,"(bot 1272989785) moving EIPS/eip-1900.md to stagnant (#3909)

PR 3909 with changes to EIPS/eip-1900.md was created on 
	(2021-Sep-11th@20.11.37)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:28:30+00:00,1900,dType - Decentralized Type System for EVM,"Loredana Cirstea, Christian Tzurcanu",Stagnant
eip-1901.md,"EIP-1901: Add OpenRPC Service Discovery To JSON-RPC Services (#1901)

* EIP-????: Add OpenRPC Service Discovery To JSON-RPC Services

* fix:

* fix(openrpc): add openrpc.json to eip assets

* fix(openrpc): reference eip asset

* Update EIPS/eip-1901.md - document link

* Delete openrpc.json

* Update eip-1901: move link to spec to top

* fix(1901):  preamble + author github usernames

* fix(1901): add copyright info

* fix(1901): add link to eth json rpc spec

* fix(1901): type and category in preamble + spelling

* fix(1901): motivation section and use vendored assets

* fix(1901): add link to multi-geth OpenRPC discovery

* fix(1901): change ordering + small fixes

* fix(1901): typo",2019-07-05 11:39:57+00:00,"(bot 1272989785) moving EIPS/eip-1901.md to stagnant (#3910)

PR 3910 with changes to EIPS/eip-1901.md was created on 
	(2021-Sep-11th@20.11.46)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:28:24+00:00,1901,Add OpenRPC Service Discovery To JSON-RPC Services,"Shane Jonas, Zachary Belford",Stagnant
eip-191.md,Create EIP 191 (#973),2018-04-05 16:04:47+00:00,"Update EIP-191: Improve Comprehensibility (#5804)

* improve EIP191 Standard

* update description for EIP712

* Update EIPS/eip-191.md

Co-authored-by: Pandapip1 <45835846+Pandapip1@users.noreply.github.com>

* update example code snippet

* remove external links and update naming

Co-authored-by: Pandapip1 <45835846+Pandapip1@users.noreply.github.com>",2022-11-25 21:33:25+00:00,191,Signed Data Standard,"Martin Holst Swende, Nick Johnson",Final
eip-1921.md,dType Functions Extension - Decentralized Type System for EVM (#2267),2019-11-22 21:21:07+00:00,"(bot 1272989785) moving EIPS/eip-1921.md to stagnant (#3911)

PR 3911 with changes to EIPS/eip-1921.md was created on 
	(2021-Sep-11th@20.11.55)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:28:16+00:00,1921,dType Functions Extension,"Loredana Cirstea, Christian Tzurcanu",Stagnant
eip-1922.md,First Draft for EIP-1922 (#1926),2019-04-11 22:27:00+00:00,"(bot 1272989785) moving EIPS/eip-1922.md to stagnant (#3912)

PR 3912 with changes to EIPS/eip-1922.md was created on 
	(2021-Sep-11th@20.12.5)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:28:09+00:00,1922,zk-SNARK Verifier Standard,"Michael Connor, Chaitanya Konda, Duncan Westland",Stagnant
eip-1923.md,First Draft for EIP-1923 (#1925),2019-04-11 22:28:01+00:00,"(bot 1272989785) moving EIPS/eip-1923.md to stagnant (#3913)

PR 3913 with changes to EIPS/eip-1923.md was created on 
	(2021-Sep-11th@20.12.14)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:28:03+00:00,1923,zk-SNARK Verifier Registry Standard,"Michael Connor, Chaitanya Konda, Duncan Westland",Stagnant
eip-1930.md,"Call strict gas (#1950)

* CALL with strict gas

* fix date

* 1930

* update with explicit code change

* add link to discussion

* update

* fix link",2019-05-13 20:17:53+00:00,"Migrate Travis CI to GitHub Actions (#5236)

* Migrate to Github actions

* Remove master branch restriction

* Fix first round of bugs

* Inline arguments

Also, test out what happens if we remove the exceptions for certain EIPs

* No idea what happened there",2022-07-13 13:40:50+00:00,1930,CALLs with strict gas semantic. Revert if not enough gas available.,Ronan Sandford,Stagnant
eip-1948.md,"ERC-1948: Non-fungible Data Token (#1948)

* first draft

* remove boilerplate

* fix indentations

* typos

* ethereum code highlights

* moved file to id

* syntax

* naming

* link to erc721

* make interface an interface

* typo

* better comments",2019-06-27 11:11:30+00:00,"(bot 1272989785) moving EIPS/eip-1948.md to stagnant (#3915)

PR 3915 with changes to EIPS/eip-1948.md was created on 
	(2021-Sep-11th@20.12.32)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:27:49+00:00,1948,Non-fungible Data Token,"Johann Barbie, Ben Bollen, pinkiebell",Stagnant
eip-1959.md,New Opcode to check if a chainID is part of the history of chainIDs (#1959),2019-05-23 22:33:26+00:00,"(bot 1272989785) moving EIPS/eip-1959.md to stagnant (#3916)

PR 3916 with changes to EIPS/eip-1959.md was created on 
	(2021-Sep-11th@20.12.41)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:27:43+00:00,1959,New Opcode to check if a chainID is part of the history of chainIDs,Ronan Sandford,Stagnant
eip-196.md,Fix EIP numbers,2017-12-01 21:13:05+00:00,Unify author header values (#3329),2021-03-05 16:46:37+00:00,196,Precompiled contracts for addition and scalar multiplication on the elliptic curve alt_bn128,Christian Reitwiessner,Final
eip-1962.md,EC arithmetics and pairings with runtime definitions (#1962),2019-05-20 11:14:16+00:00,"(bot 1272989785) moving EIPS/eip-1962.md to stagnant (#3917)

PR 3917 with changes to EIPS/eip-1962.md was created on 
	(2021-Sep-11th@20.12.50)
which is before the cutoff date of 
	(2021-Sep-12th@00.22.51)
i.e. 2 weeks ago",2021-09-26 05:27:37+00:00,1962,EC arithmetic and pairings with runtime definitions,Alex Vlasov,Stagnant
